# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 315         3.998       51.447      0.00        Hansweert   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,HH,    T
  315,20150101,    1,     
  315,20150101,    2,     
  315,20150101,    3,     
  315,20150101,    4,     
  315,20150101,    5,     
  315,20150101,    6,     
  315,20150101,    7,     
  315,20150101,    8,     
  315,20150101,    9,     
  315,20150101,   10,     
  315,20150101,   11,     
  315,20150101,   12,     
  315,20150101,   13,     
  315,20150101,   14,     
  315,20150101,   15,     
  315,20150101,   16,     
  315,20150101,   17,     
  315,20150101,   18,     
  315,20150101,   19,     
  315,20150101,   20,     
  315,20150101,   21,     
  315,20150101,   22,     
  315,20150101,   23,     
  315,20150101,   24,     
  315,20150102,    1,     
  315,20150102,    2,     
  315,20150102,    3,     
  315,20150102,    4,     
  315,20150102,    5,     
  315,20150102,    6,     
  315,20150102,    7,     
  315,20150102,    8,     
  315,20150102,    9,     
  315,20150102,   10,     
  315,20150102,   11,     
  315,20150102,   12,     
  315,20150102,   13,     
  315,20150102,   14,     
  315,20150102,   15,     
  315,20150102,   16,     
  315,20150102,   17,     
  315,20150102,   18,     
  315,20150102,   19,     
  315,20150102,   20,     
  315,20150102,   21,     
  315,20150102,   22,     
  315,20150102,   23,     
  315,20150102,   24,     
  315,20150103,    1,     
  315,20150103,    2,     
  315,20150103,    3,     
  315,20150103,    4,     
  315,20150103,    5,     
  315,20150103,    6,     
  315,20150103,    7,     
  315,20150103,    8,     
  315,20150103,    9,     
  315,20150103,   10,     
  315,20150103,   11,     
  315,20150103,   12,     
  315,20150103,   13,     
  315,20150103,   14,     
  315,20150103,   15,     
  315,20150103,   16,     
  315,20150103,   17,     
  315,20150103,   18,     
  315,20150103,   19,     
  315,20150103,   20,     
  315,20150103,   21,     
  315,20150103,   22,     
  315,20150103,   23,     
  315,20150103,   24,     
  315,20150104,    1,     
  315,20150104,    2,     
  315,20150104,    3,     
  315,20150104,    4,     
  315,20150104,    5,     
  315,20150104,    6,     
  315,20150104,    7,     
  315,20150104,    8,     
  315,20150104,    9,     
  315,20150104,   10,     
  315,20150104,   11,     
  315,20150104,   12,     
  315,20150104,   13,     
  315,20150104,   14,     
  315,20150104,   15,     
  315,20150104,   16,     
  315,20150104,   17,     
  315,20150104,   18,     
  315,20150104,   19,     
  315,20150104,   20,     
  315,20150104,   21,     
  315,20150104,   22,     
  315,20150104,   23,     
  315,20150104,   24,     
  315,20150105,    1,     
  315,20150105,    2,     
  315,20150105,    3,     
  315,20150105,    4,     
  315,20150105,    5,     
  315,20150105,    6,     
  315,20150105,    7,     
  315,20150105,    8,     
  315,20150105,    9,     
  315,20150105,   10,     
  315,20150105,   11,     
  315,20150105,   12,     
  315,20150105,   13,     
  315,20150105,   14,     
  315,20150105,   15,     
  315,20150105,   16,     
  315,20150105,   17,     
  315,20150105,   18,     
  315,20150105,   19,     
  315,20150105,   20,     
  315,20150105,   21,     
  315,20150105,   22,     
  315,20150105,   23,     
  315,20150105,   24,     
  315,20150106,    1,     
  315,20150106,    2,     
  315,20150106,    3,     
  315,20150106,    4,     
  315,20150106,    5,     
  315,20150106,    6,     
  315,20150106,    7,     
  315,20150106,    8,     
  315,20150106,    9,     
